user,item,label,time
421,3755,1.0,976282836
4928,571,1.0,962663564
3829,2973,1.0,965932653
857,1333,1.0,975346542
42,1097,1.0,978039215
3489,1214,0.0,967052000
2757,3683,1.0,973193221
2750,3060,1.0,973199633
4535,3394,1.0,964721272
1899,3578,1.0,975035785
1425,2504,1.0,974759173
5501,2915,1.0,959798470
2365,1078,1.0,974341382
692,1263,1.0,975739000
33,2070,1.0,978109534
3970,145,1.0,965662374
839,562,1.0,975362410
3945,2097,1.0,965694192
721,3499,1.0,976461871
3884,864,0.0,965813922
1100,1091,0.0,974926613
4132,377,1.0,965354260
3910,1101,1.0,965755712
3770,2105,1.0,966049792
2456,592,1.0,974182349
3957,1022,1.0,965676616
3418,896,1.0,967397038
844,2064,0.0,975356662
3104,3826,0.0,969559118
6018,485,0.0,956764118
4354,357,1.0,965194372
3050,1876,1.0,970179323
998,36,1.0,975192062
3395,2490,1.0,967487662
3261,1198,1.0,968936375
445,3135,1.0,976242203
5032,2700,1.0,962560818
3125,1179,1.0,993073693
3615,162,1.0,966603239
1899,316,1.0,975558438
5433,1003,0.0,960050792
5906,3260,1.0,957374653
1354,1398,1.0,975456074
5323,1260,1.0,960847685
282,1892,1.0,976571523
2223,2302,1.0,975261883
1421,1247,1.0,974846662
4386,1702,0.0,965246989
261,1952,1.0,976667589
5350,1101,1.0,960660787
4169,235,1.0,973309981
1503,1293,1.0,974750346
3954,1196,1.0,965674989
3793,1923,1.0,966016680
943,1230,1.0,975168341
1084,3005,1.0,974932813
295,2560,1.0,976526829
5668,3421,1.0,958753595
1215,2599,1.0,974841897
3017,1213,1.0,970529575
2725,110,1.0,973270245
2054,741,1.0,974662057
655,2427,1.0,975706392
3435,2401,1.0,970793764
929,3685,1.0,975194946
4206,783,1.0,965320968
936,47,1.0,975439697
10,765,1.0,978230330
2180,3256,1.0,974609510
3311,434,1.0,967955385
2777,2716,1.0,973194292
5111,518,1.0,962331341
5883,2337,0.0,957535575
5493,1748,1.0,959885344
1943,3481,1.0,974691749
5193,750,1.0,961702518
2101,741,1.0,974652707
2457,1249,1.0,974182204
3453,2013,1.0,971324945
5840,3299,0.0,957831881
3253,314,1.0,968622910
274,3578,1.0,976593685
5208,2808,1.0,961659434
2777,3412,1.0,973042710
3562,1100,1.0,966793032
4777,1278,1.0,963027537
5329,1648,1.0,961008694
6036,26,1.0,956754065
4012,1210,1.0,965540802
4507,2528,1.0,964982328
5256,3698,1.0,961303145
4572,1013,1.0,964461073
2783,3576,1.0,973017808
5519,1673,1.0,959659514
3499,2571,1.0,966996235
3189,2428,1.0,969790366
2107,110,1.0,974651747
5391,2022,1.0,960324450
5428,3176,1.0,973043055
5364,1968,1.0,960501943
4981,866,1.0,962599453
4790,1097,1.0,963179923
4374,260,1.0,965179200
4281,2100,1.0,965281314
1316,1305,1.0,974778717
5675,132,0.0,958690189
1594,3362,1.0,975212038
4578,1584,0.0,964388835
922,516,0.0,975213478
3095,3039,1.0,970774423
5104,1953,1.0,962338383
5229,2916,1.0,961465637
4884,1573,1.0,962743772
5035,2724,1.0,962557815
1571,1242,1.0,974738531
3017,597,1.0,970530902
3578,2616,1.0,966792800
3422,3255,0.0,967410594
2814,1682,1.0,972703482
4581,1663,0.0,964379549
3099,2140,0.0,969932000
4725,1200,1.0,963368496
5752,3098,1.0,958275910
839,3686,0.0,980757729
4343,208,0.0,965228609
4697,1399,1.0,963595154
4258,592,1.0,965413073
4700,2096,1.0,963590779
3454,293,1.0,968189007
3272,595,1.0,968198148
4098,1370,1.0,965516620
1325,2096,1.0,974777776
5367,2797,1.0,960503645
5615,2707,1.0,959305276
5306,2111,1.0,960940091
1347,3596,1.0,974772441
4810,2054,0.0,962934636
260,3740,1.0,976671410
3683,2348,0.0,966356136
1597,2248,0.0,1042685192
338,3066,1.0,1007522091
301,3254,1.0,976584572
1696,2474,1.0,974764712
5961,28,1.0,957024163
5025,3629,1.0,962573981
5404,1097,1.0,960255402
765,1320,1.0,975451029
2913,242,1.0,971772624
2069,1747,1.0,974659419
136,1748,0.0,977422792
5847,1298,1.0,957795201
2168,231,1.0,975705166
1599,3052,1.0,999361232
1010,3087,1.0,975229566
4902,745,1.0,962686299
3159,319,1.0,968992745
5189,1210,1.0,961738020
1698,1722,1.0,975872217
3304,2863,1.0,968007739
3208,379,0.0,968556443
1671,3927,1.0,974709664
2551,3175,1.0,974015517
2322,2770,1.0,974461933
4337,2329,1.0,965237656
3833,1101,0.0,981556003
1119,1653,1.0,974911842
1498,3471,1.0,975010227
716,1385,1.0,982881115
273,2335,1.0,976777196
4041,482,1.0,965711457
5643,1223,1.0,958893636
5086,3035,1.0,962396277
5359,153,0.0,960604103
1179,1197,0.0,974867208
4510,1213,1.0,964979459
4096,1233,1.0,965421956
926,1282,1.0,1006644077
1608,968,1.0,974730707
5054,1076,1.0,962557780
62,965,1.0,977909145
3418,1,1.0,967397590
3010,1909,1.0,970522871
1317,2105,1.0,974785037
5074,1,1.0,962428734
3693,2993,1.0,967766262
2685,2023,0.0,973374468
4886,316,1.0,962743934
