user,item,label,time
4784,919,1.0,963250001
4072,1267,1.0,965452172
3134,3081,1.0,969083318
3217,1092,1.0,968456408
887,457,1.0,975256224
1321,2174,1.0,974778187
664,1252,1.0,975990789
1184,1968,1.0,974855285
526,110,1.0,976161635
4302,3763,1.0,965585622
2221,318,1.0,974601670
4015,1333,1.0,965533279
6040,1124,0.0,956716113
1800,2028,1.0,974698946
1323,3358,1.0,974777391
3521,903,1.0,966922120
2241,1025,1.0,974597020
2907,1274,0.0,972181820
1794,1644,0.0,974708919
5543,783,1.0,959556759
3563,1393,1.0,966784754
4351,1291,1.0,965438778
1339,2716,1.0,974780527
5812,2942,0.0,992074577
5289,3676,1.0,961081926
3170,3098,1.0,968806749
949,3744,1.0,975392084
1902,3265,1.0,974691723
5505,2726,1.0,959731984
1875,2311,1.0,975769468
2876,2058,1.0,972408414
1375,1093,1.0,974767861
4867,785,0.0,962850753
6016,1809,1.0,956779584
5142,2795,1.0,962042322
5663,1956,1.0,959269028
5930,376,1.0,957234129
3327,474,1.0,967867533
1698,2804,1.0,975873793
5268,2881,0.0,961170514
482,193,0.0,1002085433
4998,47,1.0,962593708
2353,1035,1.0,1020468865
3519,2291,1.0,967574264
319,3546,1.0,976424026
1579,3444,1.0,981272549
3483,1304,1.0,967068261
309,1653,1.0,976485054
1245,1197,1.0,974829534
791,1278,1.0,981768825
2063,2883,1.0,974661196
881,2922,1.0,1014314452
550,3255,1.0,976067011
1844,3910,1.0,974697151
4579,1252,1.0,964385114
3768,3265,1.0,1000106646
1285,3639,1.0,976320424
3997,798,1.0,965579819
4437,2490,1.0,965097604
58,1175,1.0,977934190
1862,3893,1.0,974695805
2820,2526,0.0,972658413
3942,1982,1.0,965691411
300,1246,1.0,976507153
1395,2692,1.0,979227092
1377,3705,0.0,974771640
5676,72,1.0,958676904
3744,1225,1.0,966140308
5046,2599,0.0,965927808
4094,3948,1.0,980109212
2638,3108,1.0,973572964
5344,2312,1.0,960675523
919,838,1.0,975203696
1666,94,1.0,974712239
4127,1625,1.0,965354959
776,933,1.0,975605385
4950,930,1.0,962640923
4381,1221,1.0,965175226
2025,2115,1.0,974673279
5617,3701,0.0,959128257
4169,1377,1.0,976589194
4342,2403,1.0,965232839
2042,1257,1.0,974669002
1208,3915,1.0,974842691
1088,3275,1.0,1034975107
4132,3203,1.0,965350525
6036,450,1.0,956754274
454,2788,1.0,976487930
1367,3361,1.0,974769678
205,943,1.0,976923897
349,3689,1.0,1017686938
2826,2396,1.0,972600646
1220,2183,1.0,974854252
5787,2115,1.0,1001122840
237,586,1.0,992229197
1643,1198,1.0,974714738
1958,316,1.0,974858358
2578,3476,1.0,973895324
1671,951,1.0,974712141
1241,1810,1.0,974833207
1983,2485,1.0,976899543
4212,480,1.0,965319972
260,2028,1.0,976670824
4122,485,0.0,965357656
481,2012,1.0,976247945
1150,2041,1.0,975192846
2679,2115,1.0,973392855
2943,3030,1.0,971320118
5450,2985,0.0,971898430
4469,446,1.0,965067697
1988,2088,0.0,974684429
5636,3114,1.0,1033410945
3767,1513,1.0,966081626
2590,2976,1.0,973840495
5490,1221,1.0,959815617
3182,3544,1.0,968781169
5333,2081,1.0,960825180
2403,1219,1.0,974260213
1288,1673,1.0,974794157
639,1036,1.0,975811026
4916,745,1.0,962675863
2063,2163,1.0,975743826
1980,2622,1.0,974685041
5173,356,1.0,971031326
5453,2483,0.0,1029360125
1273,541,1.0,974814174
4917,1230,1.0,962675966
3777,1356,1.0,966035529
5809,3476,0.0,957983052
1790,333,1.0,974706291
4658,3696,0.0,963879635
2462,2088,1.0,974171239
1324,3095,1.0,974778386
846,714,1.0,984456043
5511,160,1.0,959716762
4849,2710,1.0,962833718
4544,3334,1.0,964661922
5539,2700,1.0,968170009
770,374,0.0,976183297
1335,3613,1.0,974817844
1671,1263,1.0,1018245511
2676,1014,1.0,973403699
4867,2289,1.0,962850432
1634,2355,1.0,974715503
4977,1965,1.0,962601602
1010,1563,1.0,975224409
5224,2881,1.0,961519506
3096,1376,1.0,969642541
4272,2009,1.0,965301833
2131,2529,1.0,996269570
3012,3249,0.0,970512656
5074,492,1.0,962470689
4508,2791,1.0,966986107
3455,2076,1.0,967233465
1128,3168,1.0,974905470
2665,2666,0.0,974738217
4790,1613,1.0,963105510
1190,2109,1.0,974850171
1748,1693,1.0,1024393126
5771,2151,1.0,958171278
4198,1210,1.0,965322866
6010,2941,1.0,957463473
4948,2414,1.0,962645430
691,39,1.0,1010907084
5813,2353,0.0,957917546
237,3098,1.0,976763480
3705,1673,1.0,966281682
4054,2194,1.0,965504111
1841,1784,1.0,974745941
5312,1282,1.0,962303953
1875,924,1.0,975769359
1613,1020,0.0,974732817
1027,1233,1.0,975002832
777,1030,0.0,975956053
1948,688,0.0,974696344
4460,1391,0.0,965073767
2737,1270,1.0,973227450
1343,3421,1.0,975803541
5797,3408,1.0,958062505
508,2410,0.0,976208168
1626,2858,1.0,974723108
3467,3870,1.0,967159842
5412,1792,1.0,960242907
1285,1923,1.0,974791907
4904,2456,1.0,962683989
881,20,0.0,975264769
4579,2935,1.0,964385079
1724,265,1.0,976440813
454,1339,0.0,1025235381
849,3254,1.0,975350717
3652,745,1.0,1008696206
4970,1250,1.0,962606565
302,1672,1.0,976505842
3860,260,1.0,965860347
3974,2000,1.0,965654215
2786,1307,1.0,973563167
3490,2212,1.0,967050133
4659,2941,1.0,963975571
5961,1438,0.0,957023744
5795,918,1.0,958150760
3312,1198,1.0,967958092
5929,1982,1.0,957248872
1897,1096,1.0,1006901562
2186,3704,1.0,974608060
5001,3061,1.0,1019973565
3422,1288,1.0,967359862
2072,2287,1.0,974659704
4418,3093,1.0,1018135674
3447,2916,1.0,967262431
637,2716,1.0,975735868
3122,3408,1.0,969325976
1676,661,1.0,974711405
2087,2858,1.0,974654703
5816,1196,1.0,957914554
3900,153,1.0,965847244
1609,296,1.0,974731892
2010,3174,1.0,974680262
3539,2688,1.0,966929561
2022,442,1.0,974740871
773,1911,1.0,975441030
4050,1265,1.0,966620954
3400,1372,1.0,967753431
5971,1246,1.0,957315048
3053,218,1.0,970170783
146,2424,1.0,1022003967
5271,440,1.0,961139439
1211,2599,1.0,974843533
1050,3624,1.0,974967647
5643,292,1.0,958893423
5601,904,1.0,959211904
3323,223,1.0,968978133
2092,3435,1.0,974653638
471,593,1.0,976223168
275,3753,1.0,976591673
1465,3005,1.0,974758657
6003,1641,1.0,956798074
4897,1387,1.0,962714339
3067,1498,1.0,970000023
1203,457,1.0,974997788
2202,2501,0.0,974605331
519,3754,0.0,976200935
3483,3201,1.0,967069995
1722,2363,1.0,974707978
2737,337,1.0,973226010
