user_id,history
1,Aladdin - Toy Story - Tarzan
2,"Backdraft - Getaway, The - Conspiracy Theory"
3,"Fish Called Wanda, A - Stand by Me - Groundhog Day"
4,"Thelma & Louise - Terminator, The"
5,"Total Eclipse - Smoke - Wings of the Dove, The"
6,"Apple Dumpling Gang, The - Patriot, The - Gladiator"
7,Patriot Games - True Lies - Supercop
8,"Mo' Better Blues - Devil's Own, The - Any Given Sunday"
9,"Few Good Men, A - Emma - Clear and Present Danger"
10,"Vacation - Close Shave, A - Stand by Me"
11,Tommy Boy - Home Alone - Billy Madison
12,"Graduate, The - Chinatown"
13,Crocodile Dundee - Stargate - Logan's Run
14,Fargo - Pulp Fiction
15,"JFK - Perfect Murder, A - Mission: Impossible"
16,"Mod Squad, The - Never Been Kissed - Prince of Egypt, The"
17,"Fly, The - Men in Black - Moonraker"
18,Eat Drink Man Woman - Dangerous Liaisons - Blue Velvet
19,"Great Escape, The - Gremlins 2: The New Batch - Jurassic Park"
20,"Patriot, The - Terminator, The"
21,Titan A.E. - Pinocchio
22,"GoldenEye - Die Hard: With a Vengeance - Mummy, The"
23,Speed - No Way Out - Deliverance
24,Raiders of the Lost Ark - Starman - Willy Wonka and the Chocolate Factory
25,In the Army Now - Operation Dumbo Drop - Life Is Beautiful (La Vita è bella)
26,"Last Picture Show, The - Rocky - Kramer Vs. Kramer"
27,Inherit the Wind - North by Northwest - Amadeus
28,Nikita (La Femme Nikita) - Seven (Se7en) - X-Men
29,Indiana Jones and the Temple of Doom - First Blood - Patriot Games
30,"Apollo 13 - Matrix, The - Red Violin, The (Le Violon rouge)"
31,"Lady Eve, The - Man with Two Brains, The - Mr. Mom"
32,"Wings of the Dove, The - Terminator 2: Judgment Day - Green Mile, The"
33,Cronos - Sleepers - Bonnie and Clyde
34,Defending Your Life - While You Were Sleeping - Benny & Joon
35,"Last of the Mohicans, The - Walking and Talking - Living Out Loud"
36,Conspiracy Theory - Air Force One - Lucas
37,Fools Rush In - While You Were Sleeping - Top Gun
38,"Babe - Bug's Life, A - Aladdin"
39,"Sleepy Hollow - Sixth Sense, The - Talented Mr. Ripley, The"
40,South Pacific - Starship Troopers - Tora! Tora! Tora!
41,"Deep End of the Ocean, The - Gladiator"
42,Butch Cassidy and the Sundance Kid - Groundhog Day - Animal House
43,"Story of Us, The - Thomas Crown Affair, The"
44,"Three Musketeers, The - Ghost in the Shell (Kokaku kidotai) - Contact"
45,My Fellow Americans - Home Fries - Big Daddy
46,Rollercoaster - Baraka - American Strays
47,GoodFellas - Immortal Beloved
48,With Honors - Little Shop of Horrors - Gremlins 2: The New Batch
49,Superman II - Executive Decision - Romeo Must Die
50,"Gladiator - Brothers McMullen, The - Perfect Storm, The"
51,"Austin Powers: International Man of Mystery - American President, The - Rushmore"
52,End of Days - Lethal Weapon 4 - Snake Eyes
53,Private Parts - Grand Canyon - Eve's Bayou
54,"Full Monty, The - Animal House - Airplane!"
55,"GoodFellas - Fugitive, The"
56,"There's Something About Mary - Full Monty, The - Aladdin"
57,"Toxic Avenger, Part II, The - Raiders of the Lost Ark - Raging Bull"
58,Beneath the Planet of the Apes - Runaway - Hollow Man
59,"High Noon - Remains of the Day, The - Manchurian Candidate, The"
60,"Midnight in the Garden of Good and Evil - Perfect Murder, A - Jacob's Ladder"
61,"Big Momma's House - Me, Myself and Irene - Eye of the Beholder"
62,"Apartment, The - In the Heat of the Night - West Side Story"
63,From Dusk Till Dawn - Mystery Science Theater 3000: The Movie - Heat
64,Scream 2 - Fallen - U-571
65,"Everest - Caddyshack - Bridge on the River Kwai, The"
66,Platoon - Patton - Big Daddy
67,Close Encounters of the Third Kind - Doctor Zhivago - Rocky
68,"Bug's Life, A - Producers, The - Rocky Horror Picture Show, The"
69,"Welcome to the Dollhouse - Down in the Delta - Cider House Rules, The"
70,"South Park: Bigger, Longer and Uncut - Sleepy Hollow - Sixth Sense, The"
71,"Clerks - Doors, The - Erin Brockovich"
72,"Silence of the Lambs, The - Fargo - Passion Fish"
73,Braddock: Missing in Action III - Missing in Action 2: The Beginning - Pee-wee's Big Adventure
74,"Bread and Chocolate (Pane e cioccolata) - Badlands - Silence of the Lambs, The"
75,"Mars Attacks! - Nutty Professor, The - Lost in Space"
76,Get Carter - Reindeer Games - Battlefield Earth
77,"Patriot, The - Rushmore - Sixth Sense, The"
78,Welcome to the Dollhouse - Sleepless in Seattle - Unstrung Heroes
79,"Talented Mr. Ripley, The - Rapture, The - Lulu on the Bridge"
80,Hercules - Star Wars: Episode I - The Phantom Menace - Any Given Sunday
81,"2001: A Space Odyssey - Key Largo - Big Sleep, The"
82,Dead Again - Dolores Claiborne - Ransom
83,"Tron - Boy Who Could Fly, The - Hook"
84,"Batman - Mark of Zorro, The - Schindler's List"
85,"Arachnophobia - Austin Powers: The Spy Who Shagged Me - Blair Witch Project, The"
86,"Fly, The - Star Wars: Episode IV - A New Hope - Dirty Dancing"
87,"Last of the Mohicans, The - Longest Day, The - On Her Majesty's Secret Service"
88,Cinema Paradiso - Gandhi - Stand by Me
89,"Killer, The (Die xue shuang xiong) - Naked Gun 2 1/2: The Smell of Fear, The"
90,Mafia! - Don't Be a Menace to South Central While Drinking Your Juice in the Hood - Wrongfully Accused
91,"Commitments, The - Much Ado About Nothing - Young Frankenstein"
92,"Teenage Mutant Ninja Turtles - Borrowers, The - Santa Clause, The"
93,"Bodyguard, The - Beverly Hills Cop III - Iron Eagle"
94,Re-Animator - Nosferatu a Venezia
95,Dead Man Walking - Life Is Beautiful (La Vita è bella) - Sling Blade
96,"Game, The - What's Eating Gilbert Grape - Tombstone"
97,"Touch of Evil - Streetcar Named Desire, A - Roman Holiday"
98,"Schindler's List - Silence of the Lambs, The"
99,"Lady and the Tramp - Ghostbusters - Sting, The"
100,"Batman & Robin - Anaconda - Silence of the Lambs, The"
101,Under Siege - Stop! Or My Mom Will Shoot - Super Mario Bros.
102,"Ghost and Mrs. Muir, The - Arsenic and Old Lace - Suspicion"
103,Timecop - Spawn - Street Fighter
104,"Boiler Room - Bone Collector, The - But I'm a Cheerleader"
105,Excalibur - Predator - Patriot Games
106,Groundhog Day - Star Wars: Episode VI - Return of the Jedi - Dave
